,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
0,TUE00244,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",434.48,52.8
1,TUA00028,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05,327.18
2,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,551.61,177.68
3,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,140.0,38.96
4,BP00242,BAN P INOX 115MMX235MM 1000W 127V T/TOR,172.41,101.71
5,BP00243,BAN P INOX 55MMX235MM 450W 127V T/TOR,237.07,49.41
6,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5323.76
7,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,38.96
8,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
9,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
10,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
11,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0
12,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0
13,BO00051,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25,0.0
14,BC00023,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25,0.0
15,PT00070,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",192.5,51.73
16,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",771.28,124.0
17,PJ31C1F1AA00,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",125.0,0.0
18,WRE-2133,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,821.3,0.0
19,WRE-2774,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,821.3,0.0
20,WRE-4885,BAN INOX 36MMØX25MM 150W 240V EXT30CM,496.35,27.43
21,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,147.76
22,PT00080,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS,718.52,259.35
23,PT00081,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",898.25,332.65
24,RP00150,REPARACION DE TERMOPAR,1500.0,0.36
25,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",1848.0,1081.89
26,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,124.0
27,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,44.14
28,PT00044,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X",2005.46,489.39
29,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44
30,TUE00247,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",856.04,295.24
31,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44
32,TUE00320,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA",601.23,178.6
33,PJ31A1F1A400,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA",150.5,68.95
34,PK31A1F1A400,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX",215.96,78.32
35,RP00172,REPARACION DE SELLADORA PCS-300,382.1,5.76
36,RP00173,REPARACION DE SELLADORA PCS-200,485.23,45.01
37,BN00232,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,289.05
38,CBS00045,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",259.6,64.85
39,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0
40,TUE00321,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,0.0
41,TF71E1120A00,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR",619.21,101.71
