,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,19898,https://www.airbnb.com/rooms/19898,20241129161612,2024-11-30,previous scrape,Duchess Suite,,,https://a0.muscache.com/pictures/101822/ae950f9e_original.jpg,69729,https://www.airbnb.com/users/show/69729,Ryan,2010-01-11,,,,,,f,https://a0.muscache.com/im/users/69729/profile_pic/1335645701/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/69729/profile_pic/1335645701/original.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,f,,Rockland,Victoria,48.42515,-123.33977,Private room in rental unit,Private room,1,,1 bath,1.0,,"[""Breakfast"", ""Free parking on premises"", ""TV with standard cable"", ""Smoke alarm"", ""Fire extinguisher"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib""]",,2,30,2,2,30,30,2.0,30.0,,,0,0,0,0,2024-11-30,0,0,0,,,,,,,,,,,f,1,0,1,0,
7,203416,https://www.airbnb.com/rooms/203416,20241129161612,2024-11-29,city scrape,Galiano Island Eagles Nest Retreat Cabin - Private,"Strictly 4 nights minimum <br />The cabin is self-contained and private.  <br /><br />If you wish to use the  fire place ***bring your own firewood or it can be purchased at the Corner Store or Garage on the island.***<br /><br />The hot tub is located on a promontory with a very scenic 180 degree view of ocean, other islands and the glaciers of the Olympic mountains in the far distance to the south.<br />Walk to the beach,Top of the World (15 minutes) with endless trails.",We are secluded and live in a  peaceful environment. There are many trails  around  that will bring you to a scenic view so you decide which adventure you want.,https://a0.muscache.com/pictures/8987310/e330f219_original.jpg,997424,https://www.airbnb.com/users/show/997424,Line Marie,2011-08-20,"British Columbia, Canada","Hi, 

My name is Line Marie and I live on Galiano Island, BC.  Bernard and I have been living on Galiano for an average of 30 years and we can't find anywhere like it on earth.  We love sailing, hiking,camping , gardening and exploring.  
I am a mosaic artist and always looking for like minded people.

I have been in the accommodation business  for the last 30 years.   We enjoy people .   

We live in a very serene environment on one of the most scenic property in the Gulf Islands. We have built the house and we would like to host like minded people.  We are asking guests to view, Cowspiracy (it's free on Netflix) before booking with us.


Line Marie and family ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ffaebcd9-09da-4e04-a50e-f151fdd8aec6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ffaebcd9-09da-4e04-a50e-f151fdd8aec6.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Southern Gulf Islands,Southern Gulf Islands,48.86572,-123.35163,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Ocean view"", ""Bed linens"", ""Garden view"", ""Hot water"", ""Stove"", ""Pets allowed"", ""Sea view"", ""Private patio or balcony"", ""Dedicated workspace"", ""Refrigerator"", ""Private hot tub"", ""Free parking on premises"", ""Essentials"", ""Hair dryer"", ""Indoor fireplace"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Mountain view"", ""Shampoo"", ""Backyard"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Hangers"", ""Heating""]",$146.00,4,30,1,4,1125,1125,3.7,1125.0,,t,9,31,46,47,2024-11-29,454,30,3,2012-11-15,2024-11-25,4.92,4.87,4.85,4.92,4.9,4.95,4.85,,t,2,2,0,0,3.1
10,237053,https://www.airbnb.com/rooms/237053,20241129161612,2024-11-29,city scrape,Character Suite Inn Victorian Home,"Reduced Rate for stays of 7 nights.<br /><br />Watch the horse carriages go by from comfortable 2nd floor suite. 4pc bath with skylight, queen bed & private Juliette balcony.   Welcome!","We are 3 doors from the historic Emily Carr House. The Empress Hotel, Parliament Buildings and Royal BC Museum / Imax are at one end of our street. The Pacific Ocean accessible via trails, beaches and Dallas road promenade are at the other!",https://a0.muscache.com/pictures/95704340/0cbca1ac_original.jpg,1216332,https://www.airbnb.com/users/show/1216332,Ann,2011-09-27,"Victoria, Canada",Mom and son enjoy living / hosting in beautiful Victoria!,within a few hours,100%,87%,f,https://a0.muscache.com/im/pictures/user/User-1216332/original/5e46656b-418a-4879-ae52-dbf4cb4f9c50.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1216332/original/5e46656b-418a-4879-ae52-dbf4cb4f9c50.jpeg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,Neighborhood highlights,James Bay,Victoria,48.41222,-123.37,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Patio or balcony"", ""Bed linens"", ""Hot water"", ""Room-darkening shades"", ""Fire extinguisher"", ""Clothing storage"", ""TV with standard cable"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Host greets you"", ""Shampoo"", ""Private entrance"", ""Wifi"", ""Hangers"", ""Heating""]",$89.00,2,180,1,30,180,180,28.6,180.0,,t,24,54,84,359,2024-11-29,266,3,0,2011-10-16,2024-09-04,4.67,4.78,4.83,4.88,4.79,4.91,4.74,38332,f,3,0,3,0,1.66
14,401073,https://www.airbnb.com/rooms/401073,20241129161612,2024-11-29,city scrape,Oceanside James Bay Heritage Suite #5,"-1 bedroom suite with queen bed, double pullout sofa bed and queen sofa bed in the living room.<br />-Large 2 story suite. Bathroom on main floor, bedroom on 2nd floor.<br />-High speed internet<br />-Plasma HDTV with digital cable<br />-One time $115.00 cleaning fee.<br />- Your pet is welcome- 95.00 or 50.00/month per pet long term stays-max 2<br />-Off street parking stall is available-65.00/month or 8.00/day <br />-On site coin operated laundry 2.00/load-loonies only<br />-Groceries and shopping approx 3 blocks away.",,https://a0.muscache.com/pictures/c5aa49d7-dd64-418b-bdf1-72ef473b4736.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,James Bay,Victoria,48.41282,-123.37677,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Bed linens"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$100.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,60,2024-11-29,22,0,0,2015-06-14,2023-06-30,4.59,4.73,4.27,4.86,4.77,4.86,4.59,,f,17,17,0,0,0.19
15,405558,https://www.airbnb.com/rooms/405558,20241129161612,2024-11-30,previous scrape,James Bay Menzies-Dallas Oceanside Suite #2,"-Large studio suite with queen bed and double pull out sofa bed<br />-Off street parking for a fee of 50.00/month or 5.00/day<br />-Pets Welcome with a Pet Fee - 75.00 per pet or 50.00/month per pet for long term<br />-Several bus routes near by<br />-High speed internet and Plasma TV with digital cable<br />-Minutes to Downtown, James Bay Village, 1/2 block from the ocean<br />-Grocery shopping in James Bay center at  Thriftys or Red Barn<br />-Lower level suite with private entrance<br />-On site laundry-2.00/load - loonies only",,https://a0.muscache.com/pictures/5431569/b02d3344_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,James Bay,Victoria,48.41101,-123.37691,Entire rental unit,Entire home/apt,4,,1 bath,,,"[""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",,90,1028,90,90,1028,1028,90.0,1028.0,,t,0,0,0,214,2024-11-30,30,0,0,2012-05-13,2022-10-31,4.52,4.57,4.6,4.9,4.76,4.93,4.53,,f,17,17,0,0,0.2
17,410541,https://www.airbnb.com/rooms/410541,20241129161612,2024-11-29,city scrape,Brand New Suite with 10FT Ceilings Suite #3,"-Studio suite with queen bed, on 2nd floor of building<br />-Luxury renovation in 2012<br />-Several bus routes at the corner<br />-High speed internet<br />-Plasma HDTV with digital cable<br />-Shopping across the street, minutes to Downtown,<br />-One time $95.00 cleaning fee.<br />- Your pet is welcome- 75.00 or 50.00/month per pet long term stays-max 2<br />-Off street parking stall is available for a charge of 65.00/month or 8.00/day for stays less than one month.<br />-On site coin operated laundry 2.00/load-loonies only","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />STADACONA CENTRE:<br /><br />A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />-Shine Café: Enjoy breakfast or lunch at this local favorite.<br />-Subway: You don’t have to go far to get your favorite sub!<br />-Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />-Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only. I’m a regular!<br />-Stadacona Food Market: Small local grocery store.<br />-Origin Bakery: Providing quality, fresh, gluten-free products.<br /><br />FERNWOOD VILLAGE:<br /><br />A vibrant community just 1km from Hilltop Manor. A 4 minute drive or 10 minute walk. Here's what you'll find",https://a0.muscache.com/pictures/6482756/263b7d5b_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Fernwood,Victoria,48.42599,-123.33919,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$76.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,30,60,90,365,2024-11-29,27,0,0,2012-06-26,2023-07-31,4.5,4.7,4.78,4.78,4.69,4.52,4.41,,f,17,17,0,0,0.18
18,410542,https://www.airbnb.com/rooms/410542,20241129161612,2024-11-29,city scrape,Rockland 1 Bedroom Suite Near Downtown,"-1 Bedroom suite with queen bed and a double pull out sofa bed on 2nd floor<br />-Off street parking for a fee of 65.00/month or 8.00/day<br />-Pets Welcome with a Pet Fee - 75.00 per pet or 50.00/month per pet for long term<br />-Several bus routes at the corner<br />-High speed internet<br />-Plasma TV with digital cable<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-Shopping across the street, Save On grocery on Fort St<br />-On site laundry-2.00/load - loonies only","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    STADACONA CENTRE:<br /><br />    A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />    -Shine Café: Enjoy breakfast or lunch at this local favorite.<br />    -Subway: You don’t have to go far to get your favorite sub!<br />    -Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />    -Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only",https://a0.muscache.com/pictures/6283786/000cb0c6_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Rockland,Victoria,48.42436,-123.341,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Indoor fireplace"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$76.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,0,0,1,243,2024-11-29,23,2,0,2012-06-24,2024-01-31,4.41,4.35,4.61,4.74,4.65,4.87,4.41,,f,17,17,0,0,0.15
19,416786,https://www.airbnb.com/rooms/416786,20241129161612,2024-11-29,city scrape,Renovated Townhouse Near Downtown,"-2 Bedroom suite -townhouse with a small yard/bbq<br />-bedrooms and bathroom on second floor<br />-in-suite laundry<br />-Several bus routes at the corner<br />-Plasma HDTV with Shaw TV and Wifi<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-One time $150.00 cleaning fee applies to all rentals.<br />- Your pet is welcome with a 50.00 pet fee/multiple months/per pet or 95.00 for one month<br />-Off street parking stall  for 65.00/month or 8.00/day for stays less than one month 65.00 max.",,https://a0.muscache.com/pictures/b1e9c2fb-238d-4286-90b0-089e5418bdf6.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,Fernwood,Victoria,48.42634,-123.34648,Entire home,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Patio or balcony"", ""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Bathtub"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Indoor fireplace"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Backyard"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Heating""]",$113.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,0,1,1,244,2024-11-29,24,0,0,2012-05-28,2023-08-22,4.5,4.67,4.71,4.88,4.83,4.25,4.25,,f,17,17,0,0,0.16
21,461498,https://www.airbnb.com/rooms/461498,20241129161612,2024-11-29,city scrape,Suite in Restored Heritage Property Suite #5,"-1 Bedroom suite with queen bed and a double pull out sofa bed on 2nd floor<br />-Off street parking for a fee of 65.00/month or 8.00/day<br />-Pets Welcome with a Pet Fee - 75.00 per pet or 50.00/month per pet for long term<br />-Several bus routes at the corner<br />-High speed internet<br />-Plasma TV with digital cable<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-Shopping across the street, Save On grocery on Fort St<br />-On site laundry-2.00/load - loonies only","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    STADACONA CENTRE:<br /><br />    A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />    -Shine Café: Enjoy breakfast or lunch at this local favorite.<br />    -Subway: You don’t have to go far to get your favorite sub!<br />    -Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />    -Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only",https://a0.muscache.com/pictures/5675972/6f27c880_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Rockland,Victoria,48.42398,-123.33868,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Indoor fireplace"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$76.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,14,14,14,227,2024-11-29,27,0,0,2012-08-12,2023-07-31,4.42,4.52,4.67,4.78,4.74,4.56,4.56,,f,17,17,0,0,0.18
22,461499,https://www.airbnb.com/rooms/461499,20241129161612,2024-11-29,city scrape,Large 2 Bedroom Suite Near Downtown Suite #8,"-Large 2 bedroom with queen beds/double pull out sofa bed on main floor<br />-In-suite laundry<br />-Outdoor Deck<br />-Several bus routes at the corner<br />-High speed internet & Plasma TV with digital cable<br />-Minutes to Downtown, Oak Bay Village & Fernwood Village<br />-Shopping across the street<br />-One time $135.00 cleaning fee applies to all rentals.<br />- Your pet is welcome with a 50.00 pet fee/monthly per pet or 95.00 if less than one month<br />-Off street parking stall is available for a charge of 65.00/month or 8.00/day","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    STADACONA CENTRE:<br /><br />    A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />    -Shine Café: Enjoy breakfast or lunch at this local favorite.<br />    -Subway: You don’t have to go far to get your favorite sub!<br />    -Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />    -Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only",https://a0.muscache.com/pictures/f12931e0-3f89-495c-aa92-a523bdf7862f.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Rockland,Victoria,48.42491,-123.34019,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Patio or balcony"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Pets allowed"", ""Single level home"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Bathtub"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Heating""]",$113.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,29,59,89,364,2024-11-29,34,0,0,2012-08-11,2023-07-21,4.48,4.56,4.45,4.87,4.74,4.43,4.42,,f,17,17,0,0,0.23
