,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,83515,https://www.airbnb.com/rooms/83515,20241129161612,2024-11-29,city scrape,GALLERY B&B SUITE,"A quiet and sunny suite with a private entrance, within walking distance of Ganges. It accommodates 2 comfortably with full kitchen , dining table, spacious bathroom with shower, queen size bed with reading lights, and a private patio with BBQ. Breakfast makings are provided - fresh organic wood-fired naturally-leavened sourdough bread from Francis Bread, also butter, jam, eggs,  milk, coffee and tea.","Our property has gardens, an orchard, a pond and monumental fir trees. It is near the village of Ganges and close to a beach. It is rural yet within walking distance of  galleries, bookstores, cafes, restaurants and lots of music venues.",https://a0.muscache.com/pictures/6110737/930db710_original.jpg,455118,https://www.airbnb.com/users/show/455118,Celia,2011-03-21,"British Columbia, Canada","Your hosts Nicholas Hunt and Celia Duthie have been married for more than 30 years. We have 2 children.  Much of our life was spent in the book business in Vancouver; now as well as the B&B we have a gallery of fine and landscape art. We love to cook, eat, walk, read, garden, play bridge and travel.",within an hour,100%,97%,t,https://a0.muscache.com/im/users/455118/profile_pic/1300744047/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/455118/profile_pic/1300744047/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,Neighborhood highlights,Salt Spring Island,Salt Spring Island,48.86222,-123.49996,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Garden view"", ""Hot water"", ""Courtyard view"", ""Refrigerator"", ""Dryer"", ""Free parking on premises"", ""Smoke alarm"", ""Essentials"", ""Building staff"", ""Hair dryer"", ""Coffee maker"", ""Kitchen"", ""Self check-in"", ""Breakfast"", ""Shampoo"", ""Backyard"", ""Dishes and silverware"", ""Wifi"", ""Washer"", ""Heating""]",$175.00,2,730,2,2,730,730,2.0,730.0,,t,3,11,26,262,2024-11-29,148,14,0,2011-05-05,2024-10-13,4.88,4.89,4.87,4.92,4.84,4.94,4.75,,t,2,2,0,0,0.9
7,203416,https://www.airbnb.com/rooms/203416,20241129161612,2024-11-29,city scrape,Galiano Island Eagles Nest Retreat Cabin - Private,"Strictly 4 nights minimum <br />The cabin is self-contained and private.  <br /><br />If you wish to use the  fire place ***bring your own firewood or it can be purchased at the Corner Store or Garage on the island.***<br /><br />The hot tub is located on a promontory with a very scenic 180 degree view of ocean, other islands and the glaciers of the Olympic mountains in the far distance to the south.<br />Walk to the beach,Top of the World (15 minutes) with endless trails.",We are secluded and live in a  peaceful environment. There are many trails  around  that will bring you to a scenic view so you decide which adventure you want.,https://a0.muscache.com/pictures/8987310/e330f219_original.jpg,997424,https://www.airbnb.com/users/show/997424,Line Marie,2011-08-20,"British Columbia, Canada","Hi, 

My name is Line Marie and I live on Galiano Island, BC.  Bernard and I have been living on Galiano for an average of 30 years and we can't find anywhere like it on earth.  We love sailing, hiking,camping , gardening and exploring.  
I am a mosaic artist and always looking for like minded people.

I have been in the accommodation business  for the last 30 years.   We enjoy people .   

We live in a very serene environment on one of the most scenic property in the Gulf Islands. We have built the house and we would like to host like minded people.  We are asking guests to view, Cowspiracy (it's free on Netflix) before booking with us.


Line Marie and family ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ffaebcd9-09da-4e04-a50e-f151fdd8aec6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ffaebcd9-09da-4e04-a50e-f151fdd8aec6.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Southern Gulf Islands,Southern Gulf Islands,48.86572,-123.35163,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Ocean view"", ""Bed linens"", ""Garden view"", ""Hot water"", ""Stove"", ""Pets allowed"", ""Sea view"", ""Private patio or balcony"", ""Dedicated workspace"", ""Refrigerator"", ""Private hot tub"", ""Free parking on premises"", ""Essentials"", ""Hair dryer"", ""Indoor fireplace"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Mountain view"", ""Shampoo"", ""Backyard"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Hangers"", ""Heating""]",$146.00,4,30,1,4,1125,1125,3.7,1125.0,,t,9,31,46,47,2024-11-29,454,30,3,2012-11-15,2024-11-25,4.92,4.87,4.85,4.92,4.9,4.95,4.85,,t,2,2,0,0,3.1
39,910427,https://www.airbnb.com/rooms/910427,20241129161612,2024-11-29,city scrape,Cedar Log Home Galiano Island,This is a 600 square foot 2 bedroom cabin on Galiano Island.  There is a queen bed and a double bed in the bedrooms.  There is a private bathroom with shower.  Includes a kitchenette.   The house is a milled cedar log home that still gives a faint cedar smell.  No pets.,"Access to Galiano Island is by private boat or BC Ferries.  We are located in ""midtown"" Galiano close to the library, school and fitness centre.  It is 1/2 way between ""downtown"" Galiano near the ferry terminal where most shops and services are and ""uptown"" Galiano where the corner store, pub and market is located.",https://a0.muscache.com/pictures/39fc0cb0-6b5a-43f0-9c74-6790b18c2779.jpg,4883986,https://www.airbnb.com/users/show/4883986,Robbie,2013-01-28,"British Columbia, Canada",,within an hour,100%,100%,t,https://a0.muscache.com/im/users/4883986/profile_pic/1359411994/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4883986/profile_pic/1359411994/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Southern Gulf Islands,Southern Gulf Islands,48.88554,-123.33073,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Indoor fireplace: wood-burning"", ""Conditioner"", ""Bed linens"", ""Drying rack for clothing"", ""32 inch TV"", ""Babysitter recommendations"", ""Ceiling fan"", ""Private backyard"", ""Children\u2019s books and toys"", ""Wine glasses"", ""Hot water"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Refrigerator"", ""Dining table"", ""Shower gel"", ""Portable fans"", ""Smoke alarm"", ""Free parking on premises"", ""Barbecue utensils"", ""Essentials"", ""Body soap"", ""Hair dryer"", ""Mini fridge"", ""Free street parking"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Clothing storage: closet and dresser"", ""Extra pillows and blankets"", ""Coffee maker"", ""Host greets you"", ""Cooking basics"", ""Iron"", ""Freezer"", ""Kitchen"", ""Outdoor furniture"", ""Ethernet connection"", ""Heating"", ""Books and reading material"", ""Board games"", ""Shampoo"", ""Hot water kettle"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Toaster oven, no full size oven oven"", ""Private entrance"", ""Wifi"", ""Toaster"", ""BBQ grill"", ""Hangers""]",$80.00,1,21,1,1,1125,1125,1.0,1125.0,,t,25,47,75,314,2024-11-29,516,83,3,2017-05-30,2024-11-25,4.87,4.9,4.95,4.96,4.96,4.89,4.82,,t,1,1,0,0,5.65
42,955575,https://www.airbnb.com/rooms/955575,20241129161612,2024-11-29,city scrape,Galiano Cabin Hideaway,,,https://a0.muscache.com/pictures/14203766/8b73c0f2_original.jpg,5111791,https://www.airbnb.com/users/show/5111791,Helen,2013-02-16,"British Columbia, Canada","I am a mother and gardener who enjoys growing organic food. I love living on the west coast of Canada, there are so many natural beauties to be discovered. I would like to have my guests feel welcomed and at home when they arrive and know that there are many exciting new experiences awaiting them.. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/5111791/profile_pic/1432095510/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5111791/profile_pic/1432095510/original.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Southern Gulf Islands,Southern Gulf Islands,48.89183,-123.36252,Entire cabin,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Indoor fireplace: wood-burning"", ""Conditioner"", ""Bed linens"", ""Central heating"", ""Hot water"", ""Wine glasses"", ""Fire extinguisher"", ""Stove"", ""Single level home"", ""Private patio or balcony"", ""Refrigerator"", ""Dining table"", ""Shower gel"", ""Long term stays allowed"", ""Dryer"", ""Hammock"", ""Wifi \u2013 19 Mbps"", ""Smoke alarm"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Essentials"", ""Body soap"", ""Hair dryer"", ""Free street parking"", ""Cleaning products"", ""First aid kit"", ""Rice maker"", ""Baking sheet"", ""Clothing storage: closet and dresser"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Freezer"", ""Kitchen"", ""Outdoor furniture"", ""Self check-in"", ""Books and reading material"", ""Board games"", ""Shampoo"", ""Hot water kettle"", ""Backyard"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Lockbox"", ""Washer"", ""Toaster"", ""BBQ grill"", ""Hangers""]",$229.00,2,31,2,2,1125,1125,2.0,1125.0,,t,0,4,34,298,2024-11-29,314,17,0,2014-05-29,2024-09-30,4.93,4.93,4.84,4.96,4.97,4.93,4.85,,t,1,1,0,0,2.45
51,1114544,https://www.airbnb.com/rooms/1114544,20241129161612,2024-11-29,city scrape,Salt Spring Carriage House - The Loft,"This pet friendly suite is situated in the north end of the island, and a two minute walk to the best swimming at St. Mary Lake, the B&B is a 7 minute drive to Ganges, our main town.  Breakfast is brought to your room daily to enjoy at your leisure.  Adults only.  No children.","The neighbourhood is quiet, and well wooded, making it enjoyable and safe for walking some of the local hiking trails.  Lots of wildlife abound, including resident deer and their babies, woodpeckers, eagles, ravens, and other birds.  A two minute walk to St Mary Lake, the largest lake on Salt Spring, it is also close to the popular public access beach for swimming.  If lazing is what you wish, there is a small deck in the private garden surrounding the B&B which many guests have enjoyed, either taking their breakfast out there in the mornings, or enjoying the full sun in the afternoon with a snack and a glass of wine.",https://a0.muscache.com/pictures/81756a21-2d95-41e0-b9b2-aed8750741f5.jpg,6116904,https://www.airbnb.com/users/show/6116904,Sue,2013-04-27,"British Columbia, Canada","Easy going, like meeting new people, love food, good wine, and having a laugh!",within an hour,100%,96%,t,https://a0.muscache.com/im/users/6116904/profile_pic/1367081412/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6116904/profile_pic/1367081412/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Salt Spring Island,Salt Spring Island,48.89553,-123.53199,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,0.0,"[""Bed linens"", ""Garden view"", ""Hot water"", ""Pets allowed"", ""Private hot tub"", ""Free parking on premises"", ""Smoke alarm"", ""Essentials"", ""Private living room"", ""Hair dryer"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Host greets you"", ""Outdoor furniture"", ""Indoor fireplace: gas"", ""Board games"", ""Breakfast"", ""Outdoor dining area"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Private entrance"", ""Wifi"", ""Hangers"", ""Heating""]",$190.00,2,14,2,2,14,14,2.0,14.0,,t,1,1,1,87,2024-11-29,31,4,0,2013-08-23,2024-09-08,4.94,4.97,4.87,4.97,5.0,4.9,4.93,,t,2,0,2,0,0.23
52,1114575,https://www.airbnb.com/rooms/1114575,20241129161612,2024-11-29,city scrape,Salt Spring Carriage House - Garden Room,"This room is The Garden Room.  A private garden with hot tub is available for guests booked into this suite.<br /><br />This suite is adults only.  No children, no pets.","The neighbourhood is quiet, and there are lots of places to walk.  There is not a lot of traffic.",https://a0.muscache.com/pictures/29dfde95-5096-404f-9a64-2fe5f223c0e5.jpg,6116904,https://www.airbnb.com/users/show/6116904,Sue,2013-04-27,"British Columbia, Canada","Easy going, like meeting new people, love food, good wine, and having a laugh!",within an hour,100%,96%,t,https://a0.muscache.com/im/users/6116904/profile_pic/1367081412/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6116904/profile_pic/1367081412/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Salt Spring Island,Salt Spring Island,48.89723,-123.53253,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Conditioner"", ""Bed linens"", ""Drying rack for clothing"", ""Coffee maker: drip coffee maker"", ""Garden view"", ""Central heating"", ""Hot water"", ""Wine glasses"", ""Fire extinguisher"", ""Laundromat nearby"", ""Pets allowed"", ""Courtyard view"", ""Coffee"", ""Single level home"", ""Private patio or balcony"", ""Dedicated workspace"", ""Dining table"", ""Shower gel"", ""Portable fans"", ""Smoke alarm"", ""Kitchenette"", ""Luggage dropoff allowed"", ""Essentials"", ""Body soap"", ""Private living room"", ""Hair dryer"", ""Mini fridge"", ""Cleaning products"", ""First aid kit"", ""Igloo refrigerator"", ""Extra pillows and blankets"", ""Iron"", ""Freezer"", ""Outdoor furniture"", ""Indoor fireplace: gas"", ""Books and reading material"", ""Breakfast"", ""Free driveway parking on premises \u2013 1 space"", ""Shampoo"", ""Hot water kettle"", ""Private hot tub - available all year, open specific hours"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Clothing storage: closet"", ""Microwave"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Private entrance"", ""Wifi"", ""Toaster"", ""Hangers""]",$190.00,2,14,2,2,14,14,2.0,14.0,,t,24,54,82,349,2024-11-29,83,17,0,2017-07-03,2024-10-27,4.96,4.95,4.96,4.96,4.96,4.9,4.84,,t,2,0,2,0,0.92
53,1135175,https://www.airbnb.com/rooms/1135175,20241129161612,2024-11-30,city scrape,Small Double Room,These bright and sunny rooms are the best value and top choice for two people. Each room in this category has a double bed as well as a fridge and some storage.,Ocean Island is located right downtown Victoria. Ask our front desk staff for fun things to do around the city!,https://a0.muscache.com/pictures/76249498/e4a654e8_original.jpg,6225439,https://www.airbnb.com/users/show/6225439,Ocean Island Inn,2013-05-04,"Victoria, Canada","Hey there!

Ocean Island Inn is located in an 1891 heritage building, which has been fully renovated and restored, yet retains its unique character. We are a family-owned business, and our mission is to provide a friendly and welcoming home away from home to a wide variety of travelers from around the world. We are located in downtown Victoria, BC.

We hope to see you soon!

Cheers,
Ocean Island Inn",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/9b66850e-149c-4020-8dac-9b8453fdbcc0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9b66850e-149c-4020-8dac-9b8453fdbcc0.jpg?aki_policy=profile_x_medium,Downtown,17,28,"['email', 'phone']",t,t,Neighborhood highlights,Downtown,Victoria,48.42778,-123.36183,Private room in hostel,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bed linens"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Hair dryer"", ""First aid kit"", ""Coffee maker"", ""Host greets you"", ""Iron"", ""Kitchen"", ""Paid parking on premises"", ""Breakfast"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Washer"", ""Heating""]",$74.00,1,1125,1,1,999,999,1.0,999.0,,t,27,57,87,185,2024-11-30,245,42,2,2013-07-23,2024-11-25,4.36,4.54,4.33,4.73,4.69,4.7,4.31,Exempt,t,16,0,12,4,1.77
56,1194888,https://www.airbnb.com/rooms/1194888,20241129161612,2024-11-29,city scrape,Small Double Room with Sink,"These bright, sunny and quiet rooms are great for two people and come with a double bed, fridge, sink, counter, and plenty of cupboard space.",Ocean Island is located right downtown Victoria. Ask our front desk staff for fun things to do around the city!,https://a0.muscache.com/pictures/76251069/c29ccc34_original.jpg,6225439,https://www.airbnb.com/users/show/6225439,Ocean Island Inn,2013-05-04,"Victoria, Canada","Hey there!

Ocean Island Inn is located in an 1891 heritage building, which has been fully renovated and restored, yet retains its unique character. We are a family-owned business, and our mission is to provide a friendly and welcoming home away from home to a wide variety of travelers from around the world. We are located in downtown Victoria, BC.

We hope to see you soon!

Cheers,
Ocean Island Inn",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/9b66850e-149c-4020-8dac-9b8453fdbcc0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9b66850e-149c-4020-8dac-9b8453fdbcc0.jpg?aki_policy=profile_x_medium,Downtown,17,28,"['email', 'phone']",t,t,Neighborhood highlights,Downtown,Victoria,48.42778,-123.36183,Private room in hostel,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bed linens"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Refrigerator"", ""Dryer"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Hair dryer"", ""First aid kit"", ""Coffee maker"", ""Host greets you"", ""Iron"", ""Kitchen"", ""Paid parking on premises"", ""Breakfast"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Washer"", ""Heating""]",$80.00,1,1125,1,1,999,999,1.0,999.0,,t,28,31,31,96,2024-11-29,87,9,0,2013-08-07,2024-10-25,4.22,4.4,4.15,4.53,4.57,4.72,4.12,Exempt,t,16,0,12,4,0.63
73,1636029,https://www.airbnb.com/rooms/1636029,20241129161612,2024-11-29,city scrape,Raylia Cottage Farm Stay,"South Facing, 500 sq. ft cottage on 12 gorgeous acres with flower & org.veg. gardens backing on to Mt. Parke.   Centrally located, 5 minute walk to organic grocer, spa and shops.  Self Catering, quiet, private and and peaceful, 20 min walk to beach.","Great neighbourhood, backing up on Mt. Parke with gorgeous hikes.  15 min. walk to village and summer farmers market.  20 min. walk to gorgeous swimming and kayaking beach! Centrally located on island. Very peaceful and quiet.",https://a0.muscache.com/pictures/miso/Hosting-1636029/original/93854390-c92d-423d-815e-8457ef00371f.jpeg,8689202,https://www.airbnb.com/users/show/8689202,Michele,2013-09-07,"British Columbia, Canada","I am a city girl, gone hippy farmer!! Mother of 3 beautiful girls, and lover of gardening and food!! Love my laidback lifestyle on  beautiful Mayne Island!  Love to meet new people and show them a different way of life! Live long, Laugh often and Love strong!!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-8689202/original/18ec72cb-a7a1-4031-8962-3e5c520c71a0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-8689202/original/18ec72cb-a7a1-4031-8962-3e5c520c71a0.jpeg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Southern Gulf Islands,Southern Gulf Islands,48.84441,-123.2781,Entire cabin,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Indoor fireplace: wood-burning"", ""EV charger"", ""42 inch TV with DVD player"", ""Garden view"", ""Children\u2019s books and toys"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Private patio or balcony"", ""Refrigerator"", ""Long term stays allowed"", ""Hammock"", ""Free parking on premises"", ""Smoke alarm"", ""Essentials"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Outdoor furniture"", ""Private backyard \u2013 Not fully fenced"", ""Board games"", ""Shampoo"", ""Outdoor dining area"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Hangers"", ""Fire pit"", ""BBQ grill"", ""Heating""]",$175.00,2,30,2,2,1125,1125,2.0,1125.0,,t,27,47,75,328,2024-11-29,310,23,1,2014-07-01,2024-11-24,4.91,4.94,4.76,4.93,4.91,4.97,4.83,,t,1,1,0,0,2.44
90,2149566,https://www.airbnb.com/rooms/2149566,20241129161612,2024-11-29,city scrape,Magical Ocean Oasis/Wildlife/Birds/Welcome Tray,Autumn/Winter is upon us - Spectacular Private Vacation Suite & Panoramic Ocean Views on 6 park-like acres.<br />Gorgeous Grand private Vacation Suite with all the Westcoast comforts. Beautifully appointed Suite & Amazing King/Queen luxe beds & linens & amazing Turret living/dining room with & wrap-around deck/bay windows to take in the ever-changing ocean views & park-like acreage - Vintage Cast Iron fireplace to keep you cozy & warm - Beautiful outdoor covered deck-curl up by the fire & star gaze.,"Located in beautiful Otter Point, we are 10 mins from the town of Sooke and minutes away from amazing beaches/hiking/kayaking/paddle-boarding/fishing. We are situated above Gordon's Beach which is a short stroll down a country road past some lovely farms/Woodworking & Art galleries.",https://a0.muscache.com/pictures/ebb9ddbc-2549-4bdb-a0ae-e403bc82d23e.jpg,10970299,https://www.airbnb.com/users/show/10970299,Tanya,2014-01-02,"Sooke, Canada","We are delighted to be sharing this magnificent piece of paradise with wonderful guests near & far.  
Having travelled to ""almost"" 20 different countries we have come to realize the world is not that small after all.
We hope you enjoy this little piece of paradise as much as we do.


",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/760beefd-77c2-472a-8441-c34fc37b636a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/760beefd-77c2-472a-8441-c34fc37b636a.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,Neighborhood highlights,Juan de Fuca,Juan de Fuca,48.3759,-123.83995,Entire guest suite,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,"[""Ocean view"", ""Bed linens"", ""Garden view"", ""Hot water"", ""Room-darkening shades"", ""Fire extinguisher"", ""Saltspring Soapworks conditioner"", ""Beach view"", ""Courtyard view"", ""Clothing storage"", ""Single level home"", ""Sea view"", ""Harbor view"", ""55 inch HDTV with premium cable, standard cable"", ""Dedicated workspace"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Shower gel"", ""Private patio or balcony"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Free parking on premises"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Beach essentials"", ""Bay view"", ""Essentials"", ""High chair"", ""Hair dryer"", ""Mini fridge"", ""Free street parking"", ""First aid kit"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Larger fridge is outside in summer. refrigerator"", ""Outdoor furniture"", ""Self check-in"", ""Mountain view"", ""Indoor fireplace: gas"", ""Heating"", ""Private backyard \u2013 Not fully fenced"", ""Board games"", ""Free washer \u2013 In unit"", ""Frigidaire electric stove"", ""Crib - available upon request"", ""Keypad"", ""Saltspring Soapworks shampoo"", ""Outdoor dining area"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Wifi"", ""Fire pit"", ""BBQ grill"", ""Hangers""]",$195.00,2,90,2,2,1125,1125,2.0,1125.0,,t,28,55,85,93,2024-11-29,178,15,0,2014-07-08,2024-09-30,4.99,4.95,4.99,4.98,4.98,4.94,4.94,,t,3,3,0,0,1.41
