,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3,185732,https://www.airbnb.com/rooms/185732,20241129161612,2024-11-29,city scrape,Romantic 2 bedroom private suite,"The unit is a 2 bedroom suite sectioned off from the rest of the house with a private hallway door. It is not the whole house. The 2 bedrooms share a private full bath & shower. The property is rural supplied by a 150m deep well. Good water conservation practices are encouraged. The water from the tap is like your own Perrier/San Pellagrino spring! A 5th person can be accommodated on a full length floor air mattress, complete with linens and a pillow,. but it is best suited for a child.",,https://a0.muscache.com/pictures/20829630/9356956a_original.jpg,880366,https://www.airbnb.com/users/show/880366,Peter,2011-07-27,"Victoria, Canada","Well traveled, experienced host, executive chef, dedicated to making your stay memorable!",a few days or more,10%,0%,f,https://a0.muscache.com/im/users/880366/profile_pic/1313616247/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/880366/profile_pic/1313616247/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'work_email']",t,t,,Highlands,Highlands,48.50589,-123.46357,Private room in home,Private room,5,1.0,1 private bath,2.0,2.0,"[""Patio or balcony"", ""Children\u2019s books and toys"", ""Hot water"", ""Fire extinguisher"", ""Lake access"", ""Dishwasher"", ""Gym"", ""Dryer"", ""Hot tub"", ""Free parking on premises"", ""TV with standard cable"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Essentials"", ""High chair"", ""Hair dryer"", ""Indoor fireplace"", ""Host greets you"", ""Iron"", ""Breakfast"", ""Shampoo"", ""Backyard"", ""Carbon monoxide alarm"", ""Private entrance"", ""Wifi"", ""Washer"", ""Hangers"", ""Heating""]",$199.00,1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2024-11-29,52,0,0,2011-08-17,2019-09-22,4.72,4.67,4.65,4.82,4.88,4.61,4.61,,f,3,0,3,0,0.32
4,193366,https://www.airbnb.com/rooms/193366,20241129161612,2024-11-29,city scrape,Tudor Cottage,"In the historic Rockland area of Victoria, this charming home and garden offers the most comfortable accommodations on a quiet street, close to all amenities.  Newly remodelled bathrooms offer a spa experience and the kitchen is completely equipped.  Second bedroom can be made up with either two twin beds or one king, and the sitting room sofa converts to a double bed.","We are surrounded by heritage homes with lovely gardens, and close to the Governor's residence and Craigdarroch Castle, both open to the public.",https://a0.muscache.com/pictures/6145514/1eb8d6f3_original.jpg,937766,https://www.airbnb.com/users/show/937766,Sandra,2011-08-07,"Victoria, Canada","Retired, gardener, love to cook",within a few hours,75%,100%,f,https://a0.muscache.com/im/users/937766/profile_pic/1351876257/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/937766/profile_pic/1351876257/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Rockland,Victoria,48.42574,-123.3376,Entire guest suite,Entire home/apt,6,2.0,2 baths,2.0,3.0,"[""Bed linens"", ""Hot water"", ""Fire extinguisher"", ""Pets allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Dryer"", ""Free parking on premises"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""First aid kit"", ""Extra pillows and blankets"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Keypad"", ""Shampoo"", ""Backyard"", ""Dishes and silverware"", ""Wifi"", ""Washer"", ""Hangers"", ""Heating""]",$135.00,30,365,30,30,1125,1125,30.0,1125.0,,t,11,25,28,270,2024-11-29,157,1,1,2012-02-16,2024-11-16,4.75,4.83,4.78,4.92,4.89,4.88,4.76,,t,1,1,0,0,1.01
14,401073,https://www.airbnb.com/rooms/401073,20241129161612,2024-11-29,city scrape,Oceanside James Bay Heritage Suite #5,"-1 bedroom suite with queen bed, double pullout sofa bed and queen sofa bed in the living room.<br />-Large 2 story suite. Bathroom on main floor, bedroom on 2nd floor.<br />-High speed internet<br />-Plasma HDTV with digital cable<br />-One time $115.00 cleaning fee.<br />- Your pet is welcome- 95.00 or 50.00/month per pet long term stays-max 2<br />-Off street parking stall is available-65.00/month or 8.00/day <br />-On site coin operated laundry 2.00/load-loonies only<br />-Groceries and shopping approx 3 blocks away.",,https://a0.muscache.com/pictures/c5aa49d7-dd64-418b-bdf1-72ef473b4736.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,James Bay,Victoria,48.41282,-123.37677,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Bed linens"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$100.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,60,2024-11-29,22,0,0,2015-06-14,2023-06-30,4.59,4.73,4.27,4.86,4.77,4.86,4.59,,f,17,17,0,0,0.19
16,408315,https://www.airbnb.com/rooms/408315,20241129161612,2024-11-29,city scrape,"Longstay Sidney waterfront home, EaglesnestSidney","<<< NOTE:  Contact us for longstay rates 12 weeks plus from October through March <br /><br />Sunny beachfront location on protected Roberts Bay, walking distance to the main street in Sidney and next door to the Marina area with restaurants and corner stores.  Kayaks available, great hiking, biking, golf.   Bus connections to Victoria or Vancouver are just around the corner. Victoria Airport nearby.","Nature, friendly people, walkable accessible to everything...",https://a0.muscache.com/pictures/miso/Hosting-408315/original/1ba41043-48f2-4518-bb2a-971f913a3091.jpeg,2032438,https://www.airbnb.com/users/show/2032438,A,2012-03-29,,"
",,,100%,f,https://a0.muscache.com/im/users/2032438/profile_pic/1422856369/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2032438/profile_pic/1422856369/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Sidney,Sidney,48.66168,-123.40394,Entire home,Entire home/apt,5,1.5,1.5 baths,3.0,3.0,"[""Bed linens"", ""Beach access \u2013 Beachfront"", ""Ceiling fan"", ""Blender"", ""Wine glasses"", ""Hot water"", ""Room-darkening shades"", ""Fire extinguisher"", ""Free dryer \u2013 In building"", ""Stove"", ""Laundromat nearby"", ""Dishwasher"", ""Private patio or balcony"", ""Dedicated workspace"", ""Refrigerator"", ""Dining table"", ""Kayak"", ""Long term stays allowed"", ""Portable fans"", ""Smoke alarm"", ""Free parking on premises"", ""Barbecue utensils"", ""Bay view"", ""Essentials"", ""Hair dryer"", ""BBQ grill"", ""First aid kit"", ""Rice maker"", ""Baking sheet"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""55 inch HDTV with Netflix, standard cable, DVD player"", ""Kitchen"", ""Outdoor furniture"", ""Ethernet connection"", ""Indoor fireplace: gas"", ""Self check-in"", ""Heating"", ""Private backyard \u2013 Not fully fenced"", ""Books and reading material"", ""Board games"", ""Sony sound system with aux"", ""Shampoo"", ""Hot water kettle"", ""Waterfront"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Toaster"", ""Free washer \u2013 In building"", ""Hangers""]",$377.00,6,1125,6,120,180,1125,86.4,332.1,,t,0,0,0,149,2024-11-29,24,2,0,2014-08-31,2024-05-26,5.0,5.0,4.79,4.96,5.0,5.0,4.92,,f,1,1,0,0,0.19
19,416786,https://www.airbnb.com/rooms/416786,20241129161612,2024-11-29,city scrape,Renovated Townhouse Near Downtown,"-2 Bedroom suite -townhouse with a small yard/bbq<br />-bedrooms and bathroom on second floor<br />-in-suite laundry<br />-Several bus routes at the corner<br />-Plasma HDTV with Shaw TV and Wifi<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-One time $150.00 cleaning fee applies to all rentals.<br />- Your pet is welcome with a 50.00 pet fee/multiple months/per pet or 95.00 for one month<br />-Off street parking stall  for 65.00/month or 8.00/day for stays less than one month 65.00 max.",,https://a0.muscache.com/pictures/b1e9c2fb-238d-4286-90b0-089e5418bdf6.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,Fernwood,Victoria,48.42634,-123.34648,Entire home,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Patio or balcony"", ""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Bathtub"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Indoor fireplace"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Backyard"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Heating""]",$113.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,0,1,1,244,2024-11-29,24,0,0,2012-05-28,2023-08-22,4.5,4.67,4.71,4.88,4.83,4.25,4.25,,f,17,17,0,0,0.16
22,461499,https://www.airbnb.com/rooms/461499,20241129161612,2024-11-29,city scrape,Large 2 Bedroom Suite Near Downtown Suite #8,"-Large 2 bedroom with queen beds/double pull out sofa bed on main floor<br />-In-suite laundry<br />-Outdoor Deck<br />-Several bus routes at the corner<br />-High speed internet & Plasma TV with digital cable<br />-Minutes to Downtown, Oak Bay Village & Fernwood Village<br />-Shopping across the street<br />-One time $135.00 cleaning fee applies to all rentals.<br />- Your pet is welcome with a 50.00 pet fee/monthly per pet or 95.00 if less than one month<br />-Off street parking stall is available for a charge of 65.00/month or 8.00/day","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br /><br />    STADACONA CENTRE:<br /><br />    A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />    -Shine Café: Enjoy breakfast or lunch at this local favorite.<br />    -Subway: You don’t have to go far to get your favorite sub!<br />    -Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />    -Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only",https://a0.muscache.com/pictures/f12931e0-3f89-495c-aa92-a523bdf7862f.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Rockland,Victoria,48.42491,-123.34019,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Patio or balcony"", ""Hot water"", ""Fire extinguisher"", ""Stove"", ""Pets allowed"", ""Single level home"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Bathtub"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private entrance"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Heating""]",$113.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,29,59,89,364,2024-11-29,34,0,0,2012-08-11,2023-07-21,4.48,4.56,4.45,4.87,4.74,4.43,4.42,,f,17,17,0,0,0.23
26,515418,https://www.airbnb.com/rooms/515418,20241129161612,2024-11-29,city scrape,High-End 2-Bedroom Suite,"-2 Bedroom suite with queen beds and a double pull out sofa bed on main floor<br />-Off street parking for a fee of 65.00/month <br />-Pets Welcome  95.00 per pet <br /> for stays longer than one month 50.00/month per pet-max 2<br />-Several bus routes at the corner<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-Convenience store/Grocery store close by<br />-On site laundry-2.00/load - loonies only<br />-Exit Clean - 125.00- stays 2 mon+ 200.00",,https://a0.muscache.com/pictures/6190942/32184628_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,,Rockland,Victoria,48.42474,-123.33922,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Hot water"", ""Stove"", ""Pets allowed"", ""Dishwasher"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Coffee maker"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$106.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,30,60,90,365,2024-11-29,11,0,0,2012-07-05,2023-03-31,4.6,4.64,4.64,4.73,4.73,4.82,4.36,,f,17,17,0,0,0.07
30,660733,https://www.airbnb.com/rooms/660733,20241129161612,2024-11-29,city scrape,Large Renovated 2 Bedroom Suite  Near Downtown #4,"- Large 2 Bedroom suite renovated Dec 2018<br />-Main floor renovation in 2012<br />-Off street parking for 65.00/month or 8.00/day<br />-Several bus routes at the corner<br />-High speed internet<br />-Plasma HDTV with digital cable<br />-Minutes to Downtown, Oak Bay Village, Cook St. Village & Fernwood Village<br />-Shopping across the street<br />-Pets welcome with a 50.00/month for multi-months pet fee/per pet or 95.00/per stay if  only 1 month","Hilltop Manor is located in Rockland, the mansion district of Victoria. This convenient location is close to shopping, public transportation and several lovely neighborhoods. Here’s a list of things to do and places to go within 1km of Hilltop Manor:<br />        STADACONA CENTRE:<br /><br />    A convenient strip mall located right across the street from Hilltop Manor. Here's a list of businesses at Stadacona Centre:<br /><br />    -Shine Café: Enjoy breakfast or lunch at this local favorite.<br />    -Subway: You don’t have to go far to get your favorite sub!<br />    -Tartan Toque: Victoria’s first true wing house offering 20 types of wings.<br />    -Cosmo’s Pizza: Pizza, wings, subs and pasta. Pickup and delivery only. I’m a regular!<br />    -Stadacona Food Market: Small local grocery store.<br />    -Origin Bakery: Providing quality, fresh, gluten-free products.<br /><br />    FERNWOOD VILLAGE:<br /><br />    A vibrant community just 1km from Hilltop Manor. A 4 minute drive or 1",https://a0.muscache.com/pictures/8640314/ef77d026_original.jpg,2001974,https://www.airbnb.com/users/show/2001974,Martin,2012-03-25,"Victoria, Canada","***I manage many Vacation Rentals in Victoria BC with ""Victoria Stays"" - Check out my other listings or Contact Me for more info***.

I moved to Victoria in 2008 from Montreal with my wife Alicia and my french bulldog Winston. When I'm not working, I enjoy spending time with my family, traveling and relaxing at home. 

Victoria Stays
65-1204 Yates Street
Victoria, BC V8V 4V1",within an hour,100%,93%,f,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2001974/profile_pic/1391888221/original.jpg?aki_policy=profile_x_medium,Rockland,24,26,"['email', 'phone']",t,t,Neighborhood highlights,Fernwood,Victoria,48.42634,-123.33957,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Hot water"", ""Stove"", ""Pets allowed"", ""Refrigerator"", ""Long term stays allowed"", ""Dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Free street parking"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Self check-in"", ""Paid parking on premises"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Oven"", ""Wifi"", ""Lockbox"", ""Washer"", ""Hangers"", ""Heating""]",$106.00,90,1124,90,90,1124,1124,90.0,1124.0,,t,0,0,0,151,2024-11-29,20,0,0,2012-09-14,2022-09-30,4.44,4.65,4.65,4.8,4.9,4.7,4.45,,f,17,17,0,0,0.13
33,687407,https://www.airbnb.com/rooms/687407,20241129161612,2024-11-29,city scrape,Pender Island Oceanfront Cottage #2,,,https://a0.muscache.com/pictures/9176205/c427ea82_original.jpg,3500087,https://www.airbnb.com/users/show/3500087,Gurpaul Singh,2012-09-07,"Burnaby, Canada",Luv to travel. Luv waterfront properties. Married with three adult kids.,within an hour,100%,58%,f,https://a0.muscache.com/im/users/3500087/profile_pic/1347120851/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3500087/profile_pic/1347120851/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Southern Gulf Islands,Southern Gulf Islands,48.79815,-123.31079,Entire cabin,Entire home/apt,6,1.0,1 bath,1.0,1.0,"[""Ocean view"", ""Dryer"", ""Free parking on premises"", ""TV with standard cable"", ""Hot water"", ""Microwave"", ""Dishes and silverware"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Pool"", ""Wifi"", ""Washer"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Heating"", ""Indoor fireplace""]",$125.00,2,7,2,2,7,7,2.0,7.0,,t,3,10,13,26,2024-11-29,51,1,0,2013-08-10,2024-04-08,4.84,4.94,4.9,4.96,4.88,4.98,4.84,,f,1,1,0,0,0.37
34,734855,https://www.airbnb.com/rooms/734855,20241129161612,2024-11-30,previous scrape,Character home in the heart of Oak Bay.,,"We live in one of the nicest neighbourhoods of Victoria - South Oak Bay. Our house is just a minute from the bus stop, walking distance to all amenities, walking distance from the ocean, 15 mins. by bus to downtown, a few min. drive to the Oak Bay Recreation Centre, and close to some tasty cafes.",https://a0.muscache.com/pictures/3b2659ec-c9ff-49fb-990c-c4f6225bbbdf.jpg,3752740,https://www.airbnb.com/users/show/3752740,Josie,2012-10-04,"Victoria, Canada","We are from Victoria BC Canada. We like hiking, biking, gardening. spending time with our 2 young children, exploring the great outdoors, and eating delicious food.",,,,f,https://a0.muscache.com/im/users/3752740/profile_pic/1349329970/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3752740/profile_pic/1349329970/original.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,Neighborhood highlights,Oak Bay,Oak Bay,48.42213,-123.31058,Entire home,Entire home/apt,6,,3 baths,4.0,,"[""Patio or balcony"", ""Conditioner"", ""Bed linens"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet, closet, and dresser"", ""EV charger"", ""Exercise equipment: elliptical, free weights, yoga mat"", ""Blender"", ""Wine glasses"", ""Hot water"", ""Fire extinguisher"", ""Free dryer \u2013 In building"", ""Stove"", ""Laundromat nearby"", ""Coffee"", ""Dishwasher"", ""Dedicated workspace"", ""Piano"", ""Refrigerator"", ""Shower gel"", ""Dining table"", ""Shared beach access"", ""Portable fans"", ""Smoke alarm"", ""Free parking on premises"", ""Bathtub"", ""Barbecue utensils"", ""TV"", ""Luggage dropoff allowed"", ""Essentials"", ""Body soap"", ""Hair dryer"", ""Mini fridge"", ""BBQ grill"", ""Cleaning products"", ""First aid kit"", ""Rice maker"", ""Free street parking"", ""Baking sheet"", ""Extra pillows and blankets"", ""Sound system with aux"", ""Coffee maker"", ""Host greets you"", ""Cooking basics"", ""Iron"", ""Freezer"", ""Kitchen"", ""Outdoor furniture"", ""Indoor fireplace: gas"", ""Heating"", ""Books and reading material"", ""Board games"", ""Breakfast"", ""Shampoo"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Private entrance"", ""Oven"", ""Wifi"", ""Private gym in building"", ""Toaster"", ""Free washer \u2013 In building"", ""Hangers""]",,4,10,4,4,10,10,4.0,10.0,,t,0,0,0,0,2024-11-30,16,0,0,2013-07-09,2021-08-19,5.0,5.0,5.0,4.93,4.87,5.0,4.93,,f,1,1,0,0,0.12
